actual_cost	date	items	quantity	row_id	row_name
85598.86	2018-12-01	18738	724840	00L	NHS NORTHUMBERLAND
40230.33	2018-12-01	8524	331740	00N	NHS SOUTH TYNESIDE
72671.13	2018-12-01	16705	633604	00P	NHS SUNDERLAND
36069.48	2018-12-01	8923	374862.5	00Q	NHS BLACKBURN WITH DARWEN
40365.68	2018-12-01	9554	374798	00R	NHS BLACKPOOL
70259.85	2018-12-01	16019	694148.5	00T	NHS BOLTON
52486.66	2018-12-01	11262	483049.5	00V	NHS BURY
43202.12	2018-12-01	9204	382436	00X	NHS CHORLEY AND SOUTH RIBBLE
58881.26	2018-12-01	14374	626150.5	00Y	NHS OLDHAM
75749.05	2018-12-01	19217	781631	01A	NHS EAST LANCASHIRE
48441.52	2018-12-01	10961	483673	01D	NHS HEYWOOD, MIDDLETON AND ROCHDALE
45856.97	2018-12-01	10679	470900	01E	NHS GREATER PRESTON
31410.72	2018-12-01	7788	323529	01F	NHS HALTON
65103.72	2018-12-01	13374	550409	01G	NHS SALFORD
85776.93	2018-12-01	18809	729484	01H	NHS NORTH CUMBRIA
44225.19	2018-12-01	9991	411162.5	01J	NHS KNOWSLEY
77347.72	2018-12-01	17376	647060	01K	NHS MORECAMBE BAY
39108.82	2018-12-01	9388	365420.5	01T	NHS SOUTH SEFTON
27622.79	2018-12-01	7473	290203	01V	NHS SOUTHPORT AND FORMBY
72399.82	2018-12-01	16878	703419.5	01W	NHS STOCKPORT
52624.19	2018-12-01	12869	534209.5	01X	NHS ST HELENS
49359.13	2018-12-01	11119	468848	01Y	NHS TAMESIDE AND GLOSSOP
51434.51	2018-12-01	11711	482235.5	02A	NHS TRAFFORD
44516.76	2018-12-01	10139	396066	02E	NHS WARRINGTON
20440.53	2018-12-01	4733	193095	02G	NHS WEST LANCASHIRE
80099.01	2018-12-01	17664	716697	02H	NHS WIGAN BOROUGH
46646.39	2018-12-01	10296	376577	02M	NHS FYLDE AND WYRE
58968.96	2018-12-01	13793	514563.5	02P	NHS BARNSLEY
21000.11	2018-12-01	5846	213036	02Q	NHS BASSETLAW
