date	row_name	items	quantity	product	actual_cost	row_id
2018-12-01	NHS BARNSLEY	591345	43541712.7	Overall	NA	NA
2018-12-01	NHS BASILDON AND BRENTWOOD	367178	25635108.740000002	Overall	NA	NA
2018-12-01	NHS BASSETLAW	217970	15499927.639999999	Overall	NA	NA
2018-12-01	NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE	1418611	91584097.69999999	Overall	NA	NA
2018-12-01	NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES	1199195	97742616.99	Overall	NA	NA
2018-12-01	NHS BERKSHIRE WEST	630771	50821547.95	Overall	NA	NA
2018-12-01	NHS BIRMINGHAM AND SOLIHULL	1877227	197818593.04999998	Overall	NA	NA
2018-12-01	NHS BLACK COUNTRY AND WEST BIRMINGHAM	1904905	181052685.03	Overall	NA	NA
2018-12-01	NHS BLACKBURN WITH DARWEN	278853	19530726.18	Overall	NA	NA
2018-12-01	NHS BLACKPOOL	375733	23573720.04	Overall	NA	NA
2018-12-01	NHS BOLTON	479545	41684148.00999999	Overall	NA	NA
2018-12-01	NHS BRADFORD DISTRICT AND CRAVEN	981715	80249075.85	Overall	NA	NA
2018-12-01	NHS BRIGHTON AND HOVE	380673	26716862.82	Overall	NA	NA
2018-12-01	NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE	1383577	92175436.93	Overall	NA	NA
2018-12-01	NHS BUCKINGHAMSHIRE	659452	49533876.3	Overall	NA	NA
2018-12-01	NHS BURY	308540	26201650.64	Overall	NA	NA
2018-12-01	NHS CALDERDALE	359515	28387101.84	Overall	NA	NA
2018-12-01	NHS CAMBRIDGESHIRE AND PETERBOROUGH	1351703	94054184.22	Overall	NA	NA
2018-12-01	NHS CANNOCK CHASE	220637	23082645.900000002	Overall	NA	NA
2018-12-01	NHS CASTLE POINT AND ROCHFORD	257282	15871926.530000001	Overall	NA	NA
2018-12-01	NHS CHESHIRE	1230095	89927998.11999999	Overall	NA	NA
2018-12-01	NHS CHORLEY AND SOUTH RIBBLE	276055	20724928.82	Overall	NA	NA
2018-12-01	NHS COUNTY DURHAM	1290752	72709107.24	Overall	NA	NA
2018-12-01	NHS COVENTRY AND WARWICKSHIRE	1470050	103038962.2	Overall	NA	NA
2018-12-01	NHS DERBY AND DERBYSHIRE	1619521	129373763.61999999	Overall	NA	NA
2018-12-01	NHS DEVON	2105095	139940427.15	Overall	NA	NA
2018-12-01	NHS DONCASTER	625123	44742757.980000004	Overall	NA	NA
2018-12-01	NHS DORSET	1233404	88907086.14	Overall	NA	NA
2018-12-01	NHS EAST AND NORTH HERTFORDSHIRE	941813	62888637.510000005	Overall	NA	NA
2018-12-01	NHS EAST LANCASHIRE	658696	44080995.720000006	Overall	NA	NA
2018-12-01	NHS EAST LEICESTERSHIRE AND RUTLAND	499291	36697359.849999994	Overall	NA	NA
2018-12-01	NHS EAST RIDING OF YORKSHIRE	609946	44493823.31	Overall	NA	NA
2018-12-01	NHS EAST STAFFORDSHIRE	221857	17124166	Overall	NA	NA
2018-12-01	NHS EAST SUSSEX	940433	67376139.92	Overall	NA	NA
2018-12-01	NHS FRIMLEY	879682	69805005.32	Overall	NA	NA
2018-12-01	NHS FYLDE AND WYRE	409716	26103583.22	Overall	NA	NA
2018-12-01	NHS GLOUCESTERSHIRE	1016571	52798692.82	Overall	NA	NA
2018-12-01	NHS GREATER PRESTON	323700	24925393.7	Overall	NA	NA
2018-12-01	NHS HALTON	232165	19918862.560000002	Overall	NA	NA
2018-12-01	NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT	2233861	182738696.84	Overall	NA	NA
2018-12-01	NHS HEREFORDSHIRE AND WORCESTERSHIRE	1200142	81358876.23	Overall	NA	NA
2018-12-01	NHS HERTS VALLEYS	745452	55564364.81	Overall	NA	NA
2018-12-01	NHS HEYWOOD, MIDDLETON AND ROCHDALE	359661	34973424.13	Overall	NA	NA
2018-12-01	NHS HULL	582373	44293958.31	Overall	NA	NA
2018-12-01	NHS IPSWICH AND EAST SUFFOLK	640563	44683333.31	Overall	NA	NA
2018-12-01	NHS KENT AND MEDWAY	2776766	210916023.80999997	Overall	NA	NA
2018-12-01	NHS KERNOW	1048449	61613973.989999995	Overall	NA	NA
2018-12-01	NHS KIRKLEES	701440	58412882.2	Overall	NA	NA
2018-12-01	NHS KNOWSLEY	333129	29868498.24	Overall	NA	NA
2018-12-01	NHS LEEDS	1256092	93911997.57	Overall	NA	NA
2018-12-01	NHS LEICESTER CITY	541695	46007593.1	Overall	NA	NA
2018-12-01	NHS LINCOLNSHIRE	1691773	100475775.4	Overall	NA	NA
2018-12-01	NHS LIVERPOOL	924171	89015205.02	Overall	NA	NA
2018-12-01	NHS MANCHESTER	915259	84776446.25000001	Overall	NA	NA
2018-12-01	NHS MID ESSEX	652159	41472549.62	Overall	NA	NA
2018-12-01	NHS MORECAMBE BAY	592929	40568555.39	Overall	NA	NA
2018-12-01	NHS NEWCASTLE GATESHEAD	1048316	72250651.12	Overall	NA	NA
2018-12-01	NHS NORFOLK AND WAVENEY	1953372	133424798.77	Overall	NA	NA
2018-12-01	NHS NORTH CENTRAL LONDON	1613170	151093953.84	Overall	NA	NA
2018-12-01	NHS NORTH CUMBRIA	612116	44331806.07	Overall	NA	NA
2018-12-01	NHS NORTH EAST ESSEX	672772	48270187.02	Overall	NA	NA
2018-12-01	NHS NORTH EAST LINCOLNSHIRE	314481	24574569.81	Overall	NA	NA
2018-12-01	NHS NORTH EAST LONDON	2448361	201861689.32	Overall	NA	NA
2018-12-01	NHS NORTH LINCOLNSHIRE	369588	27432839.45	Overall	NA	NA
2018-12-01	NHS NORTH STAFFORDSHIRE	387527	36915194.2	Overall	NA	NA
2018-12-01	NHS NORTH TYNESIDE	458044	30662061.25	Overall	NA	NA
2018-12-01	NHS NORTH WEST LONDON	2551201	194975104.26	Overall	NA	NA
2018-12-01	NHS NORTH YORKSHIRE	767108	50254640.019999996	Overall	NA	NA
2018-12-01	NHS NORTHAMPTONSHIRE	1277723	82940940.5	Overall	NA	NA
2018-12-01	NHS NORTHUMBERLAND	692254	49397252.5	Overall	NA	NA
2018-12-01	NHS NOTTINGHAM AND NOTTINGHAMSHIRE	1575111	108812357.09	Overall	NA	NA
2018-12-01	NHS OLDHAM	423218	37657542.300000004	Overall	NA	NA
2018-12-01	NHS OXFORDSHIRE	922270	61724980.879999995	Overall	NA	NA
2018-12-01	NHS PORTSMOUTH	283148	22246194.52	Overall	NA	NA
2018-12-01	NHS ROTHERHAM	501117	26815127.6	Overall	NA	NA
2018-12-01	NHS SALFORD	486406	36288648.370000005	Overall	NA	NA
2018-12-01	NHS SHEFFIELD	1076091	75239015.94	Overall	NA	NA
2018-12-01	NHS SHROPSHIRE, TELFORD AND WREKIN	727488	59360926.02	Overall	NA	NA
2018-12-01	NHS SOMERSET	895522	60361321.62	Overall	NA	NA
2018-12-01	NHS SOUTH EAST LONDON	1886381	153198667.44	Overall	NA	NA
2018-12-01	NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA	352021	29018951.51	Overall	NA	NA
2018-12-01	NHS SOUTH SEFTON	304298	27794469.53	Overall	NA	NA
2018-12-01	NHS SOUTH TYNESIDE	324453	23354561.61	Overall	NA	NA
2018-12-01	NHS SOUTH WEST LONDON	1744234	130673973.69	Overall	NA	NA
2018-12-01	NHS SOUTHEND	249123	16512047.7	Overall	NA	NA
2018-12-01	NHS SOUTHPORT AND FORMBY	247817	18342117.14	Overall	NA	NA
2018-12-01	NHS ST HELENS	401840	32284595.73	Overall	NA	NA
2018-12-01	NHS STAFFORD AND SURROUNDS	238899	21948425.8	Overall	NA	NA
2018-12-01	NHS STOCKPORT	524977	40894797.25	Overall	NA	NA
2018-12-01	NHS STOKE ON TRENT	521072	48760872.8	Overall	NA	NA
