actual_cost	date	items	quantity	row_id	row_name
1301.78	2018-12-01	236	5497	00L	NHS NORTHUMBERLAND
864.73	2018-12-01	100	3879	00N	NHS SOUTH TYNESIDE
771.69	2018-12-01	181	3470	00P	NHS SUNDERLAND
496.82	2018-12-01	96	2458	00Q	NHS BLACKBURN WITH DARWEN
642.31	2018-12-01	115	2393	00R	NHS BLACKPOOL
1443.28	2018-12-01	221	5035	00T	NHS BOLTON
1458.64	2018-12-01	179	5290	00V	NHS BURY
693.18	2018-12-01	156	4221	00X	NHS CHORLEY AND SOUTH RIBBLE
1488.19	2018-12-01	247	5401	00Y	NHS OLDHAM
1734.15	2018-12-01	247	7485	01A	NHS EAST LANCASHIRE
978.86	2018-12-01	196	3845	01D	NHS HEYWOOD, MIDDLETON AND ROCHDALE
1278.58	2018-12-01	167	3706	01E	NHS GREATER PRESTON
585.23	2018-12-01	123	2616	01F	NHS HALTON
1079.86	2018-12-01	238	5130	01G	NHS SALFORD
1731.43	2018-12-01	268	6305	01H	NHS NORTH CUMBRIA
649.81	2018-12-01	132	2869	01J	NHS KNOWSLEY
2587.71	2018-12-01	328	8359	01K	NHS MORECAMBE BAY
473.72	2018-12-01	119	2579	01T	NHS SOUTH SEFTON
548.54	2018-12-01	113	2660	01V	NHS SOUTHPORT AND FORMBY
1928.45	2018-12-01	310	7610	01W	NHS STOCKPORT
925.43	2018-12-01	180	4469	01X	NHS ST HELENS
728.34	2018-12-01	130	2738	01Y	NHS TAMESIDE AND GLOSSOP
941.04	2018-12-01	208	4383	02A	NHS TRAFFORD
1344.77	2018-12-01	183	3985	02E	NHS WARRINGTON
505.49	2018-12-01	74	2844	02G	NHS WEST LANCASHIRE
1933.18	2018-12-01	303	7487	02H	NHS WIGAN BOROUGH
1304.13	2018-12-01	164	4527	02M	NHS FYLDE AND WYRE
690.02	2018-12-01	167	3532	02P	NHS BARNSLEY
396.69	2018-12-01	67	1983	02Q	NHS BASSETLAW
1184.71	2018-12-01	171	4298	02T	NHS CALDERDALE
1011.84	2018-12-01	182	4347	02X	NHS DONCASTER
857.96	2018-12-01	157	3957	02Y	NHS EAST RIDING OF YORKSHIRE
831.75	2018-12-01	125	2695	03F	NHS HULL
529.76	2018-12-01	155	3076	03H	NHS NORTH EAST LINCOLNSHIRE
528.53	2018-12-01	154	3295	03K	NHS NORTH LINCOLNSHIRE
682.99	2018-12-01	164	3491	03L	NHS ROTHERHAM
1803.29	2018-12-01	338	8855	03N	NHS SHEFFIELD
1601.07	2018-12-01	176	4166	03Q	NHS VALE OF YORK
1323.01	2018-12-01	226	5363	03R	NHS WAKEFIELD
2102.12	2018-12-01	322	7404	03W	NHS EAST LEICESTERSHIRE AND RUTLAND
1559.69	2018-12-01	222	5686	04C	NHS LEICESTER CITY
1608.62	2018-12-01	350	7840	04V	NHS WEST LEICESTERSHIRE
793.37	2018-12-01	138	3056	04Y	NHS CANNOCK CHASE
543.61	2018-12-01	110	2594	05D	NHS EAST STAFFORDSHIRE
1299.9	2018-12-01	211	4105	05G	NHS NORTH STAFFORDSHIRE
1481.06	2018-12-01	220	4967	05Q	NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA
940.15	2018-12-01	188	4665	05V	NHS STAFFORD AND SURROUNDS
1910.31	2018-12-01	241	4622	05W	NHS STOKE ON TRENT
7164.28	2018-12-01	1177	32158	06H	NHS CAMBRIDGESHIRE AND PETERBOROUGH
3684.58	2018-12-01	635	15850	06K	NHS EAST AND NORTH HERTFORDSHIRE
2866.38	2018-12-01	414	11056	06L	NHS IPSWICH AND EAST SUFFOLK
2849.45	2018-12-01	664	14869	06N	NHS HERTS VALLEYS
1416.24	2018-12-01	494	9307	06Q	NHS MID ESSEX
1954.12	2018-12-01	415	8840	06T	NHS NORTH EAST ESSEX
722.38	2018-12-01	167	3781	07G	NHS THURROCK
1761.99	2018-12-01	361	9411	07H	NHS WEST ESSEX
2844.1	2018-12-01	382	9660	07K	NHS WEST SUFFOLK
1995.13	2018-12-01	234	5579	09D	NHS BRIGHTON AND HOVE
4978.23	2018-12-01	842	20678	10Q	NHS OXFORDSHIRE
1441.98	2018-12-01	248	6159	10R	NHS PORTSMOUTH
3047.43	2018-12-01	750	16138	11J	NHS DORSET
6042.4	2018-12-01	946	18642	11M	NHS GLOUCESTERSHIRE
5020.19	2018-12-01	874	17189	11N	NHS KERNOW
4122	2018-12-01	491	11915	11X	NHS SOMERSET
2926.16	2018-12-01	445	9318	12F	NHS WIRRAL
1740.69	2018-12-01	258	6659	13T	NHS NEWCASTLE GATESHEAD
4201.11	2018-12-01	576	14030	14L	NHS MANCHESTER
2221.18	2018-12-01	580	12148	14Y	NHS BUCKINGHAMSHIRE
2448.19	2018-12-01	476	10671	15A	NHS BERKSHIRE WEST
8863.33	2018-12-01	961	22918	15C	NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE
8282.28	2018-12-01	1103	28094	15E	NHS BIRMINGHAM AND SOLIHULL
3910.19	2018-12-01	736	15257	15F	NHS LEEDS
6140.5	2018-12-01	861	21340	15M	NHS DERBY AND DERBYSHIRE
10718.38	2018-12-01	1030	19470	15N	NHS DEVON
2865.76	2018-12-01	636	13714	16C	NHS TEES VALLEY
5801.58	2018-12-01	858	18851	18C	NHS HEREFORDSHIRE AND WORCESTERSHIRE
5287.53	2018-12-01	1072	26388	26A	NHS NORFOLK AND WAVENEY
5475.5	2018-12-01	583	14759	27D	NHS CHESHIRE
3059.15	2018-12-01	402	11411	36J	NHS BRADFORD DISTRICT AND CRAVEN
5327.3	2018-12-01	1049	25452	36L	NHS SOUTH WEST LONDON
2100.17	2018-12-01	263	7215	42D	NHS NORTH YORKSHIRE
4783.98	2018-12-01	966	19365	52R	NHS NOTTINGHAM AND NOTTINGHAMSHIRE
5185.81	2018-12-01	895	19480	70F	NHS WEST SUSSEX
2999.13	2018-12-01	701	16587	71E	NHS LINCOLNSHIRE
6824.65	2018-12-01	1410	31339	72Q	NHS SOUTH EAST LONDON
2943.72	2018-12-01	576	13521	78H	NHS NORTHAMPTONSHIRE
2586.68	2018-12-01	468	11742	84H	NHS COUNTY DURHAM
9445.51	2018-12-01	1887	40544	91Q	NHS KENT AND MEDWAY
5171.23	2018-12-01	931	22490	92A	NHS SURREY HEARTLANDS
4471.54	2018-12-01	981	21273	92G	NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE
5933.28	2018-12-01	1016	24922	93C	NHS NORTH CENTRAL LONDON
3225.76	2018-12-01	604	13955	97R	NHS EAST SUSSEX
2558.93	2018-12-01	488	11776	99A	NHS LIVERPOOL
1037.09	2018-12-01	131	4228	99C	NHS NORTH TYNESIDE
1407.55	2018-12-01	307	6950	99E	NHS BASILDON AND BRENTWOOD
1101.88	2018-12-01	230	4449	99F	NHS CASTLE POINT AND ROCHFORD
883.91	2018-12-01	227	4708	99G	NHS SOUTHEND
10069.43	2018-12-01	1301	40279	A3A8R	NHS NORTH EAST LONDON
4915.84	2018-12-01	986	21833	B2M3M	NHS COVENTRY AND WARWICKSHIRE
6145.42	2018-12-01	920	21300	D2P2L	NHS BLACK COUNTRY AND WEST BIRMINGHAM
4082.51	2018-12-01	701	14654	D4U1Y	NHS FRIMLEY
10858.42	2018-12-01	2049	45879	D9Y0V	NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT
5041.33	2018-12-01	1095	23449	M1J4Y	NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES
2738.01	2018-12-01	619	14747	M2L0M	NHS SHROPSHIRE, TELFORD AND WREKIN
9680.04	2018-12-01	1607	35562	W2U3Z	NHS NORTH WEST LONDON
1574.34	2018-12-01	306	8085	X2C4Y	NHS KIRKLEES
1482.41	2019-01-01	237	5627	00L	NHS NORTHUMBERLAND
665.66	2019-01-01	127	3747	00N	NHS SOUTH TYNESIDE
653.03	2019-01-01	189	3916	00P	NHS SUNDERLAND
921.5	2019-01-01	109	2891	00Q	NHS BLACKBURN WITH DARWEN
882.88	2019-01-01	132	3442	00R	NHS BLACKPOOL
1434.6	2019-01-01	224	4978	00T	NHS BOLTON
1393.43	2019-01-01	189	4763	00V	NHS BURY
859.04	2019-01-01	165	4049	00X	NHS CHORLEY AND SOUTH RIBBLE
2209.77	2019-01-01	300	6774	00Y	NHS OLDHAM
2132.31	2019-01-01	298	7475	01A	NHS EAST LANCASHIRE
1418.8	2019-01-01	193	4291	01D	NHS HEYWOOD, MIDDLETON AND ROCHDALE
1435.31	2019-01-01	181	3785	01E	NHS GREATER PRESTON
892.87	2019-01-01	120	3001	01F	NHS HALTON
1440.1	2019-01-01	262	6844	01G	NHS SALFORD
1337.64	2019-01-01	295	6207	01H	NHS NORTH CUMBRIA
506.41	2019-01-01	129	2648	01J	NHS KNOWSLEY
2575.27	2019-01-01	301	7162	01K	NHS MORECAMBE BAY
855.49	2019-01-01	142	3462	01T	NHS SOUTH SEFTON
549.81	2019-01-01	120	2372	01V	NHS SOUTHPORT AND FORMBY
2138.52	2019-01-01	343	7775	01W	NHS STOCKPORT
690.15	2019-01-01	159	4102	01X	NHS ST HELENS
1150.72	2019-01-01	149	3579	01Y	NHS TAMESIDE AND GLOSSOP
1101.51	2019-01-01	237	5152	02A	NHS TRAFFORD
1630.11	2019-01-01	194	5488	02E	NHS WARRINGTON
383.25	2019-01-01	75	2178	02G	NHS WEST LANCASHIRE
2051.94	2019-01-01	337	8600	02H	NHS WIGAN BOROUGH
1607.89	2019-01-01	195	4874	02M	NHS FYLDE AND WYRE
585.65	2019-01-01	170	3118	02P	NHS BARNSLEY
357.34	2019-01-01	83	1758	02Q	NHS BASSETLAW
1455.74	2019-01-01	192	5040	02T	NHS CALDERDALE
1072.41	2019-01-01	190	3796	02X	NHS DONCASTER
973.3	2019-01-01	167	5055	02Y	NHS EAST RIDING OF YORKSHIRE
950.93	2019-01-01	163	3359	03F	NHS HULL
586.5	2019-01-01	156	2685	03H	NHS NORTH EAST LINCOLNSHIRE
544.65	2019-01-01	181	3740	03K	NHS NORTH LINCOLNSHIRE
914.53	2019-01-01	190	4778	03L	NHS ROTHERHAM
2433.56	2019-01-01	400	10734	03N	NHS SHEFFIELD
1640.92	2019-01-01	168	4105	03Q	NHS VALE OF YORK
2113.57	2019-01-01	289	6227	03R	NHS WAKEFIELD
1715.91	2019-01-01	343	6650	03W	NHS EAST LEICESTERSHIRE AND RUTLAND
1533.31	2019-01-01	255	6832	04C	NHS LEICESTER CITY
2269.72	2019-01-01	378	8238	04V	NHS WEST LEICESTERSHIRE
1010.36	2019-01-01	154	4062	04Y	NHS CANNOCK CHASE
498.89	2019-01-01	144	2700	05D	NHS EAST STAFFORDSHIRE
1754.24	2019-01-01	262	6245	05G	NHS NORTH STAFFORDSHIRE
1204.88	2019-01-01	197	3886	05Q	NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA
684.89	2019-01-01	155	4147	05V	NHS STAFFORD AND SURROUNDS
2213.85	2019-01-01	254	5022	05W	NHS STOKE ON TRENT
8787.34	2019-01-01	1263	33694	06H	NHS CAMBRIDGESHIRE AND PETERBOROUGH
4841.84	2019-01-01	634	18794	06K	NHS EAST AND NORTH HERTFORDSHIRE
3337.22	2019-01-01	430	12447	06L	NHS IPSWICH AND EAST SUFFOLK
3786.03	2019-01-01	715	15355	06N	NHS HERTS VALLEYS
1768.75	2019-01-01	520	9475	06Q	NHS MID ESSEX
2475.55	2019-01-01	509	10596	06T	NHS NORTH EAST ESSEX
578.71	2019-01-01	144	2520	07G	NHS THURROCK
1811.46	2019-01-01	361	8155	07H	NHS WEST ESSEX
2526	2019-01-01	406	9817	07K	NHS WEST SUFFOLK
1695.25	2019-01-01	208	5420	09D	NHS BRIGHTON AND HOVE
5421.67	2019-01-01	921	20539	10Q	NHS OXFORDSHIRE
1516.26	2019-01-01	267	6060	10R	NHS PORTSMOUTH
3672.35	2019-01-01	831	17571	11J	NHS DORSET
6391.92	2019-01-01	974	19834	11M	NHS GLOUCESTERSHIRE
6039.82	2019-01-01	1001	19971	11N	NHS KERNOW
3303.35	2019-01-01	515	11301	11X	NHS SOMERSET
3201.19	2019-01-01	469	10261	12F	NHS WIRRAL
1701.99	2019-01-01	278	6737	13T	NHS NEWCASTLE GATESHEAD
4459.13	2019-01-01	602	13967	14L	NHS MANCHESTER
2494.15	2019-01-01	610	13190	14Y	NHS BUCKINGHAMSHIRE
1964.89	2019-01-01	462	10269	15A	NHS BERKSHIRE WEST
10267.55	2019-01-01	1126	27720	15C	NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE
8436.79	2019-01-01	1166	27657	15E	NHS BIRMINGHAM AND SOLIHULL
4193.07	2019-01-01	808	16716	15F	NHS LEEDS
6569.75	2019-01-01	945	25097	15M	NHS DERBY AND DERBYSHIRE
10704.88	2019-01-01	1034	18393	15N	NHS DEVON
3036.23	2019-01-01	646	16319	16C	NHS TEES VALLEY
6853.51	2019-01-01	946	21606	18C	NHS HEREFORDSHIRE AND WORCESTERSHIRE
5768.88	2019-01-01	1074	27549	26A	NHS NORFOLK AND WAVENEY
7163.05	2019-01-01	697	18705	27D	NHS CHESHIRE
3799.47	2019-01-01	450	12259	36J	NHS BRADFORD DISTRICT AND CRAVEN
6472.6	2019-01-01	1107	25631	36L	NHS SOUTH WEST LONDON
2152.7	2019-01-01	273	6536	42D	NHS NORTH YORKSHIRE
7321.85	2019-01-01	1030	23786	52R	NHS NOTTINGHAM AND NOTTINGHAMSHIRE
6771.44	2019-01-01	979	22650	70F	NHS WEST SUSSEX
3116.51	2019-01-01	759	17131	71E	NHS LINCOLNSHIRE
7307.93	2019-01-01	1469	34900	72Q	NHS SOUTH EAST LONDON
3877.66	2019-01-01	627	15404	78H	NHS NORTHAMPTONSHIRE
3008.29	2019-01-01	513	11516	84H	NHS COUNTY DURHAM
9884.41	2019-01-01	2052	40878	91Q	NHS KENT AND MEDWAY
4243.42	2019-01-01	989	20844	92A	NHS SURREY HEARTLANDS
4832.92	2019-01-01	1078	23540	92G	NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE
5313.76	2019-01-01	1021	22894	93C	NHS NORTH CENTRAL LONDON
3775.07	2019-01-01	666	15741	97R	NHS EAST SUSSEX
2849.51	2019-01-01	536	11357	99A	NHS LIVERPOOL
897.68	2019-01-01	145	3771	99C	NHS NORTH TYNESIDE
1312.87	2019-01-01	300	6642	99E	NHS BASILDON AND BRENTWOOD
1207.73	2019-01-01	248	5621	99F	NHS CASTLE POINT AND ROCHFORD
1211.22	2019-01-01	269	5573	99G	NHS SOUTHEND
8776.66	2019-01-01	1416	38431	A3A8R	NHS NORTH EAST LONDON
5259.1	2019-01-01	1017	22447	B2M3M	NHS COVENTRY AND WARWICKSHIRE
6989.2	2019-01-01	1083	23864	D2P2L	NHS BLACK COUNTRY AND WEST BIRMINGHAM
4192.98	2019-01-01	681	14150	D4U1Y	NHS FRIMLEY
12283.4	2019-01-01	2189	47721	D9Y0V	NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT
7037.83	2019-01-01	1163	25537	M1J4Y	NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES
2860.6	2019-01-01	621	14794	M2L0M	NHS SHROPSHIRE, TELFORD AND WREKIN
10590.81	2019-01-01	1723	39295	W2U3Z	NHS NORTH WEST LONDON
1751.88	2019-01-01	355	8240	X2C4Y	NHS KIRKLEES
1181.7	2019-02-01	201	4323	00L	NHS NORTHUMBERLAND
390.07	2019-02-01	109	2252	00N	NHS SOUTH TYNESIDE
487.83	2019-02-01	116	2507	00P	NHS SUNDERLAND
1113.96	2019-02-01	86	2745	00Q	NHS BLACKBURN WITH DARWEN
756.2	2019-02-01	111	2411	00R	NHS BLACKPOOL
1310.25	2019-02-01	213	5181	00T	NHS BOLTON
1104.97	2019-02-01	173	3753	00V	NHS BURY
905.24	2019-02-01	164	4469	00X	NHS CHORLEY AND SOUTH RIBBLE
2316.77	2019-02-01	282	7076	00Y	NHS OLDHAM
2247.48	2019-02-01	274	8310	01A	NHS EAST LANCASHIRE
1244.82	2019-02-01	197	4459	01D	NHS HEYWOOD, MIDDLETON AND ROCHDALE
1231.87	2019-02-01	194	4158	01E	NHS GREATER PRESTON
637.6	2019-02-01	109	1978	01F	NHS HALTON
1024.88	2019-02-01	189	5177	01G	NHS SALFORD
1204.49	2019-02-01	233	5020	01H	NHS NORTH CUMBRIA
569.99	2019-02-01	122	2971	01J	NHS KNOWSLEY
2067.86	2019-02-01	300	6661	01K	NHS MORECAMBE BAY
709.23	2019-02-01	122	3229	01T	NHS SOUTH SEFTON
525.26	2019-02-01	73	2536	01V	NHS SOUTHPORT AND FORMBY
2051.29	2019-02-01	294	7373	01W	NHS STOCKPORT
906.42	2019-02-01	141	3261	01X	NHS ST HELENS
992.9	2019-02-01	136	3355	01Y	NHS TAMESIDE AND GLOSSOP
1221.77	2019-02-01	219	4514	02A	NHS TRAFFORD
1038.48	2019-02-01	175	4443	02E	NHS WARRINGTON
266.79	2019-02-01	67	1566	02G	NHS WEST LANCASHIRE
1506.56	2019-02-01	242	5823	02H	NHS WIGAN BOROUGH
1086.75	2019-02-01	137	2702	02M	NHS FYLDE AND WYRE
574.12	2019-02-01	126	2826	02P	NHS BARNSLEY
693.43	2019-02-01	95	2119	02Q	NHS BASSETLAW
1061.35	2019-02-01	136	3487	02T	NHS CALDERDALE
1292.96	2019-02-01	184	4845	02X	NHS DONCASTER
796.17	2019-02-01	153	3957	02Y	NHS EAST RIDING OF YORKSHIRE
682.91	2019-02-01	112	2320	03F	NHS HULL
446.3	2019-02-01	144	3064	03H	NHS NORTH EAST LINCOLNSHIRE
632.28	2019-02-01	167	3643	03K	NHS NORTH LINCOLNSHIRE
647.95	2019-02-01	162	3414	03L	NHS ROTHERHAM
2473.96	2019-02-01	362	10055	03N	NHS SHEFFIELD
1961.42	2019-02-01	161	4356	03Q	NHS VALE OF YORK
1593.06	2019-02-01	237	5496	03R	NHS WAKEFIELD
1505.35	2019-02-01	273	5579	03W	NHS EAST LEICESTERSHIRE AND RUTLAND
1326.53	2019-02-01	187	4570	04C	NHS LEICESTER CITY
2039.69	2019-02-01	314	8088	04V	NHS WEST LEICESTERSHIRE
764.16	2019-02-01	127	2474	04Y	NHS CANNOCK CHASE
410.65	2019-02-01	119	2333	05D	NHS EAST STAFFORDSHIRE
1034.03	2019-02-01	188	3754	05G	NHS NORTH STAFFORDSHIRE
1172.22	2019-02-01	178	3674	05Q	NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA
539.57	2019-02-01	145	2879	05V	NHS STAFFORD AND SURROUNDS
1592.85	2019-02-01	226	4495	05W	NHS STOKE ON TRENT
7978.87	2019-02-01	1148	31417	06H	NHS CAMBRIDGESHIRE AND PETERBOROUGH
3698.25	2019-02-01	600	14352	06K	NHS EAST AND NORTH HERTFORDSHIRE
2418.84	2019-02-01	331	8008	06L	NHS IPSWICH AND EAST SUFFOLK
3177.32	2019-02-01	630	12945	06N	NHS HERTS VALLEYS
1696.07	2019-02-01	477	9158	06Q	NHS MID ESSEX
2126.92	2019-02-01	403	8463	06T	NHS NORTH EAST ESSEX
454.77	2019-02-01	138	2744	07G	NHS THURROCK
1348.13	2019-02-01	294	7151	07H	NHS WEST ESSEX
1593.13	2019-02-01	283	7049	07K	NHS WEST SUFFOLK
1802.18	2019-02-01	200	4923	09D	NHS BRIGHTON AND HOVE
5356.68	2019-02-01	795	20816	10Q	NHS OXFORDSHIRE
1258.13	2019-02-01	244	5522	10R	NHS PORTSMOUTH
3606.39	2019-02-01	704	14891	11J	NHS DORSET
5443.44	2019-02-01	768	16546	11M	NHS GLOUCESTERSHIRE
4416.13	2019-02-01	809	16073	11N	NHS KERNOW
2770.77	2019-02-01	423	10166	11X	NHS SOMERSET
2964	2019-02-01	399	9379	12F	NHS WIRRAL
1562.04	2019-02-01	235	5494	13T	NHS NEWCASTLE GATESHEAD
3042.53	2019-02-01	499	12171	14L	NHS MANCHESTER
2250.52	2019-02-01	496	10295	14Y	NHS BUCKINGHAMSHIRE
2010.58	2019-02-01	390	9585	15A	NHS BERKSHIRE WEST
8099.2	2019-02-01	900	20579	15C	NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE
7916.49	2019-02-01	1046	25539	15E	NHS BIRMINGHAM AND SOLIHULL
3765.56	2019-02-01	752	15305	15F	NHS LEEDS
5806.88	2019-02-01	791	19738	15M	NHS DERBY AND DERBYSHIRE
10257.33	2019-02-01	932	18860	15N	NHS DEVON
2901.69	2019-02-01	551	13399	16C	NHS TEES VALLEY
6060.96	2019-02-01	790	18565	18C	NHS HEREFORDSHIRE AND WORCESTERSHIRE
