actual_cost	date	items	quantity	row_id	row_name
5093.31	2018-12-01	4715	204798	00L	NHS NORTHUMBERLAND
2682.49	2018-12-01	2298	99192	00N	NHS SOUTH TYNESIDE
4622.29	2018-12-01	4318	190285	00P	NHS SUNDERLAND
3141.05	2018-12-01	3092	132991	00Q	NHS BLACKBURN WITH DARWEN
2928	2018-12-01	2699	123453	00R	NHS BLACKPOOL
5940.33	2018-12-01	5488	254265	00T	NHS BOLTON
3788.14	2018-12-01	3532	165866	00V	NHS BURY
2532.37	2018-12-01	2482	112583	00X	NHS CHORLEY AND SOUTH RIBBLE
4704.27	2018-12-01	4567	216093	00Y	NHS OLDHAM
6699.07	2018-12-01	6395	300224	01A	NHS EAST LANCASHIRE
3492.96	2018-12-01	3302	163426	01D	NHS HEYWOOD, MIDDLETON AND ROCHDALE
3421.42	2018-12-01	3235	166356	01E	NHS GREATER PRESTON
2665.28	2018-12-01	2438	118855	01F	NHS HALTON
4470.53	2018-12-01	3971	175299	01G	NHS SALFORD
5638.24	2018-12-01	5100	232465	01H	NHS NORTH CUMBRIA
3427.44	2018-12-01	3211	147078	01J	NHS KNOWSLEY
4732.47	2018-12-01	4367	187363	01K	NHS MORECAMBE BAY
3435.35	2018-12-01	3337	138041	01T	NHS SOUTH SEFTON
2691.18	2018-12-01	2406	114676	01V	NHS SOUTHPORT AND FORMBY
4980.58	2018-12-01	4666	224843	01W	NHS STOCKPORT
4243.18	2018-12-01	4000	191796	01X	NHS ST HELENS
3649.81	2018-12-01	3558	159044	01Y	NHS TAMESIDE AND GLOSSOP
3497.28	2018-12-01	3192	157449	02A	NHS TRAFFORD
3357.59	2018-12-01	3097	142630	02E	NHS WARRINGTON
1442.47	2018-12-01	1291	58132	02G	NHS WEST LANCASHIRE
5551.76	2018-12-01	5253	227707	02H	NHS WIGAN BOROUGH
2928.54	2018-12-01	2791	118521	02M	NHS FYLDE AND WYRE
4228.25	2018-12-01	3956	168581	02P	NHS BARNSLEY
1787.37	2018-12-01	1775	74670	02Q	NHS BASSETLAW
4093.43	2018-12-01	3830	181400	02T	NHS CALDERDALE
6237.26	2018-12-01	5890	263520	02X	NHS DONCASTER
5407.25	2018-12-01	5132	216887	02Y	NHS EAST RIDING OF YORKSHIRE
5905.53	2018-12-01	5773	273224	03F	NHS HULL
3079.77	2018-12-01	2865	128774	03H	NHS NORTH EAST LINCOLNSHIRE
2987.19	2018-12-01	2753	124172	03K	NHS NORTH LINCOLNSHIRE
4137.77	2018-12-01	3922	175968	03L	NHS ROTHERHAM
8566.26	2018-12-01	8022	358407	03N	NHS SHEFFIELD
4606.52	2018-12-01	4380	189759	03Q	NHS VALE OF YORK
6608.79	2018-12-01	6678	298746	03R	NHS WAKEFIELD
4353.81	2018-12-01	4414	195633	03W	NHS EAST LEICESTERSHIRE AND RUTLAND
5769.86	2018-12-01	6013	291121	04C	NHS LEICESTER CITY
5061.42	2018-12-01	5020	214908	04V	NHS WEST LEICESTERSHIRE
2617.95	2018-12-01	2249	111692	04Y	NHS CANNOCK CHASE
2489.28	2018-12-01	2128	113668	05D	NHS EAST STAFFORDSHIRE
3680.35	2018-12-01	3275	169386	05G	NHS NORTH STAFFORDSHIRE
4068.34	2018-12-01	3284	161011	05Q	NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA
2444.9	2018-12-01	2101	99704	05V	NHS STAFFORD AND SURROUNDS
5324.16	2018-12-01	4888	261558	05W	NHS STOKE ON TRENT
12325.84	2018-12-01	11615	613147	06H	NHS CAMBRIDGESHIRE AND PETERBOROUGH
8695.8	2018-12-01	8427	397757	06K	NHS EAST AND NORTH HERTFORDSHIRE
6904.46	2018-12-01	6309	287195	06L	NHS IPSWICH AND EAST SUFFOLK
9681.05	2018-12-01	8715	451628	06N	NHS HERTS VALLEYS
6193.57	2018-12-01	5901	276354	06Q	NHS MID ESSEX
7863.94	2018-12-01	6920	369518	06T	NHS NORTH EAST ESSEX
3381.44	2018-12-01	3244	159721	07G	NHS THURROCK
6344.9	2018-12-01	5768	297265	07H	NHS WEST ESSEX
4824.92	2018-12-01	4237	212991	07K	NHS WEST SUFFOLK
