actual_cost	date	items	quantity	row_id	row_name
835.8	2018-12-01	219	5093	00L	NHS NORTHUMBERLAND
560.61	2018-12-01	89	3645	00N	NHS SOUTH TYNESIDE
405.4	2018-12-01	172	3309	00P	NHS SUNDERLAND
200.82	2018-12-01	82	2184	00Q	NHS BLACKBURN WITH DARWEN
194.78	2018-12-01	102	2092	00R	NHS BLACKPOOL
559.98	2018-12-01	184	4464	00T	NHS BOLTON
635.25	2018-12-01	151	4803	00V	NHS BURY
345.88	2018-12-01	140	3886	00X	NHS CHORLEY AND SOUTH RIBBLE
509.84	2018-12-01	203	4743	00Y	NHS OLDHAM
691.11	2018-12-01	207	6150	01A	NHS EAST LANCASHIRE
306.78	2018-12-01	178	3488	01D	NHS HEYWOOD, MIDDLETON AND ROCHDALE
363.67	2018-12-01	136	2721	01E	NHS GREATER PRESTON
241.44	2018-12-01	113	2446	01F	NHS HALTON
534.47	2018-12-01	217	4703	01G	NHS SALFORD
690.46	2018-12-01	236	5666	01H	NHS NORTH CUMBRIA
326.51	2018-12-01	123	2699	01J	NHS KNOWSLEY
848.72	2018-12-01	274	7192	01K	NHS MORECAMBE BAY
268.29	2018-12-01	113	2483	01T	NHS SOUTH SEFTON
251.04	2018-12-01	107	2506	01V	NHS SOUTHPORT AND FORMBY
633.69	2018-12-01	270	6483	01W	NHS STOCKPORT
537.85	2018-12-01	159	4140	01X	NHS ST HELENS
221.65	2018-12-01	112	2372	01Y	NHS TAMESIDE AND GLOSSOP
362.39	2018-12-01	189	3932	02A	NHS TRAFFORD
461.06	2018-12-01	161	3440	02E	NHS WARRINGTON
432.69	2018-12-01	72	2806	02G	NHS WEST LANCASHIRE
868.16	2018-12-01	266	6636	02H	NHS WIGAN BOROUGH
483.26	2018-12-01	132	3811	02M	NHS FYLDE AND WYRE
300.63	2018-12-01	153	3291	02P	NHS BARNSLEY
249.86	2018-12-01	61	1862	02Q	NHS BASSETLAW
408.29	2018-12-01	147	3772	02T	NHS CALDERDALE
531.02	2018-12-01	162	4009	02X	NHS DONCASTER
380.76	2018-12-01	145	3682	02Y	NHS EAST RIDING OF YORKSHIRE
312.25	2018-12-01	112	2390	03F	NHS HULL
325.48	2018-12-01	151	2990	03H	NHS NORTH EAST LINCOLNSHIRE
429.65	2018-12-01	149	3207	03K	NHS NORTH LINCOLNSHIRE
