actual_cost	date	items	quantity	row_id	row_name
1364.34	2018-12-01	649	15387	00L	NHS NORTHUMBERLAND
801.12	2018-12-01	384	8768	00N	NHS SOUTH TYNESIDE
1284.14	2018-12-01	583	14842	00P	NHS SUNDERLAND
1511.47	2018-12-01	733	17951	00Q	NHS BLACKBURN WITH DARWEN
984.55	2018-12-01	371	11762	00R	NHS BLACKPOOL
2028.67	2018-12-01	914	23217	00T	NHS BOLTON
1776.45	2018-12-01	835	20835	00V	NHS BURY
1558.22	2018-12-01	674	21053	00X	NHS CHORLEY AND SOUTH RIBBLE
1552.67	2018-12-01	711	17853	00Y	NHS OLDHAM
3538.96	2018-12-01	1631	45334	01A	NHS EAST LANCASHIRE
1142.39	2018-12-01	513	13448	01D	NHS HEYWOOD, MIDDLETON AND ROCHDALE
1796.23	2018-12-01	773	22903	01E	NHS GREATER PRESTON
1387.64	2018-12-01	622	18194	01F	NHS HALTON
1611.28	2018-12-01	753	18767	01G	NHS SALFORD
2949.81	2018-12-01	1208	37634	01H	NHS NORTH CUMBRIA
1654.43	2018-12-01	746	20059	01J	NHS KNOWSLEY
3236.04	2018-12-01	1364	38285	01K	NHS MORECAMBE BAY
1514.71	2018-12-01	681	18653	01T	NHS SOUTH SEFTON
1389.43	2018-12-01	588	16394	01V	NHS SOUTHPORT AND FORMBY
1782.66	2018-12-01	787	22125	01W	NHS STOCKPORT
2339.33	2018-12-01	965	32572	01X	NHS ST HELENS
1483.7	2018-12-01	672	17665	01Y	NHS TAMESIDE AND GLOSSOP
1830.58	2018-12-01	797	22642	02A	NHS TRAFFORD
1935.27	2018-12-01	885	23426	02E	NHS WARRINGTON
749.05	2018-12-01	322	8872	02G	NHS WEST LANCASHIRE
2350.4	2018-12-01	1085	27974	02H	NHS WIGAN BOROUGH
1275.57	2018-12-01	567	14587	02M	NHS FYLDE AND WYRE
1589.42	2018-12-01	658	18532	02P	NHS BARNSLEY
1004.5	2018-12-01	475	12094	02Q	NHS BASSETLAW
2485.03	2018-12-01	1152	28675	02T	NHS CALDERDALE
2433.73	2018-12-01	1127	27058	02X	NHS DONCASTER
2822.11	2018-12-01	1223	33625	02Y	NHS EAST RIDING OF YORKSHIRE
2669.12	2018-12-01	1210	33674	03F	NHS HULL
945.06	2018-12-01	481	10372	03H	NHS NORTH EAST LINCOLNSHIRE
1241.89	2018-12-01	588	14237	03K	NHS NORTH LINCOLNSHIRE
1773.89	2018-12-01	728	23163	03L	NHS ROTHERHAM
3433.8	2018-12-01	1485	43253	03N	NHS SHEFFIELD
2586.73	2018-12-01	1147	30196	03Q	NHS VALE OF YORK
3681.81	2018-12-01	1716	43792	03R	NHS WAKEFIELD
707.09	2018-12-01	324	8206	03W	NHS EAST LEICESTERSHIRE AND RUTLAND
693.34	2018-12-01	324	7961	04C	NHS LEICESTER CITY
873.96	2018-12-01	377	10987	04V	NHS WEST LEICESTERSHIRE
1451.32	2018-12-01	652	18041	04Y	NHS CANNOCK CHASE
1524.1	2018-12-01	643	18479	05D	NHS EAST STAFFORDSHIRE
2336.35	2018-12-01	1077	28252	05G	NHS NORTH STAFFORDSHIRE
2050.52	2018-12-01	889	24981	05Q	NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA
1254.7	2018-12-01	570	15505	05V	NHS STAFFORD AND SURROUNDS
2926.7	2018-12-01	1240	36865	05W	NHS STOKE ON TRENT
7574.79	2018-12-01	3191	89594	06H	NHS CAMBRIDGESHIRE AND PETERBOROUGH
5894.1	2018-12-01	2598	68732	06K	NHS EAST AND NORTH HERTFORDSHIRE
4836.44	2018-12-01	2195	53264	06L	NHS IPSWICH AND EAST SUFFOLK
5949.38	2018-12-01	2692	67257	06N	NHS HERTS VALLEYS
2993.63	2018-12-01	1420	35155	06Q	NHS MID ESSEX
3659.3	2018-12-01	1513	40583	06T	NHS NORTH EAST ESSEX
1381.31	2018-12-01	656	14496	07G	NHS THURROCK
3787.45	2018-12-01	1617	39499	07H	NHS WEST ESSEX
3209.38	2018-12-01	1343	34883	07K	NHS WEST SUFFOLK
1579.29	2018-12-01	696	18165	09D	NHS BRIGHTON AND HOVE
4057.81	2018-12-01	1834	46691	10Q	NHS OXFORDSHIRE
1781.22	2018-12-01	731	19656	10R	NHS PORTSMOUTH
6523.43	2018-12-01	2900	74667	11J	NHS DORSET
6952.5	2018-12-01	2968	80315	11M	NHS GLOUCESTERSHIRE
5423.4	2018-12-01	2353	64452	11N	NHS KERNOW
3963.25	2018-12-01	1666	47145	11X	NHS SOMERSET
2805.91	2018-12-01	1274	34138	12F	NHS WIRRAL
1984.23	2018-12-01	857	23196	13T	NHS NEWCASTLE GATESHEAD
3626.71	2018-12-01	1607	43762	14L	NHS MANCHESTER
5312.62	2018-12-01	2404	62612	14Y	NHS BUCKINGHAMSHIRE
3244.66	2018-12-01	1411	38360	15A	NHS BERKSHIRE WEST
5028.15	2018-12-01	2284	59760	15C	NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE
8881.2	2018-12-01	4133	93468	15E	NHS BIRMINGHAM AND SOLIHULL
7109.46	2018-12-01	3069	88661	15F	NHS LEEDS
5168.08	2018-12-01	2460	57241	15M	NHS DERBY AND DERBYSHIRE
8288.5	2018-12-01	3525	98650	15N	NHS DEVON
4707.15	2018-12-01	1968	57878	16C	NHS TEES VALLEY
6781.96	2018-12-01	3079	77550	18C	NHS HEREFORDSHIRE AND WORCESTERSHIRE
11652.09	2018-12-01	4900	132028	26A	NHS NORFOLK AND WAVENEY
6788.45	2018-12-01	2889	86459	27D	NHS CHESHIRE
5724.56	2018-12-01	2550	69100	36J	NHS BRADFORD DISTRICT AND CRAVEN
9059.59	2018-12-01	4181	103825	36L	NHS SOUTH WEST LONDON
3277.76	2018-12-01	1541	37443	42D	NHS NORTH YORKSHIRE
6547.11	2018-12-01	2986	72415	52R	NHS NOTTINGHAM AND NOTTINGHAMSHIRE
7513.33	2018-12-01	3343	87207	70F	NHS WEST SUSSEX
6124.24	2018-12-01	2766	68993	71E	NHS LINCOLNSHIRE
10735.87	2018-12-01	4867	120874	72Q	NHS SOUTH EAST LONDON
5705.57	2018-12-01	2591	69277	78H	NHS NORTHAMPTONSHIRE
3285.77	2018-12-01	1490	38518	84H	NHS COUNTY DURHAM
15933.07	2018-12-01	7128	185079	91Q	NHS KENT AND MEDWAY
8812.35	2018-12-01	3991	101333	92A	NHS SURREY HEARTLANDS
6969.54	2018-12-01	3042	84256	92G	NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE
9908.14	2018-12-01	4329	116252	93C	NHS NORTH CENTRAL LONDON
5102.59	2018-12-01	2164	58910	97R	NHS EAST SUSSEX
4458.18	2018-12-01	1884	53600	99A	NHS LIVERPOOL
1056.71	2018-12-01	404	11955	99C	NHS NORTH TYNESIDE
1986.66	2018-12-01	877	23560	99E	NHS BASILDON AND BRENTWOOD
1214.41	2018-12-01	583	13116	99F	NHS CASTLE POINT AND ROCHFORD
1413.08	2018-12-01	652	15308	99G	NHS SOUTHEND
11171.6	2018-12-01	5156	121552	A3A8R	NHS NORTH EAST LONDON
7801.11	2018-12-01	3535	87180	B2M3M	NHS COVENTRY AND WARWICKSHIRE
8302.71	2018-12-01	3685	101079	D2P2L	NHS BLACK COUNTRY AND WEST BIRMINGHAM
6134.24	2018-12-01	2858	66984	D4U1Y	NHS FRIMLEY
10641.56	2018-12-01	4664	119018	D9Y0V	NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT
9420.99	2018-12-01	4328	111258	M1J4Y	NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES
1921.25	2018-12-01	795	22422	M2L0M	NHS SHROPSHIRE, TELFORD AND WREKIN
14909.36	2018-12-01	6885	174699	W2U3Z	NHS NORTH WEST LONDON
4521.16	2018-12-01	1960	55034	X2C4Y	NHS KIRKLEES
1717.04	2019-01-01	805	18255	00L	NHS NORTHUMBERLAND
931.41	2019-01-01	442	10160	00N	NHS SOUTH TYNESIDE
1300.64	2019-01-01	646	13975	00P	NHS SUNDERLAND
1797.65	2019-01-01	859	20454	00Q	NHS BLACKBURN WITH DARWEN
1156.3	2019-01-01	463	12990	00R	NHS BLACKPOOL
2522.49	2019-01-01	1096	26892	00T	NHS BOLTON
2007.52	2019-01-01	923	23416	00V	NHS BURY
1688.71	2019-01-01	775	19504	00X	NHS CHORLEY AND SOUTH RIBBLE
2119.18	2019-01-01	983	23488	00Y	NHS OLDHAM
4119.62	2019-01-01	1871	50190	01A	NHS EAST LANCASHIRE
1559.72	2019-01-01	706	18054	01D	NHS HEYWOOD, MIDDLETON AND ROCHDALE
2072.79	2019-01-01	948	24753	01E	NHS GREATER PRESTON
1502.53	2019-01-01	668	18125	01F	NHS HALTON
1857.24	2019-01-01	837	19998	01G	NHS SALFORD
3482.63	2019-01-01	1467	42176	01H	NHS NORTH CUMBRIA
1869.72	2019-01-01	817	22154	01J	NHS KNOWSLEY
3860.33	2019-01-01	1573	44165	01K	NHS MORECAMBE BAY
1779.94	2019-01-01	833	20908	01T	NHS SOUTH SEFTON
1677.38	2019-01-01	709	19392	01V	NHS SOUTHPORT AND FORMBY
2079.51	2019-01-01	953	23870	01W	NHS STOCKPORT
2639.22	2019-01-01	1099	34959	01X	NHS ST HELENS
