actual_cost	date	items	quantity	row_id	row_name
1693.3	2018-12-01	720	28297	00L	NHS NORTHUMBERLAND
507.12	2018-12-01	226	8897	00N	NHS SOUTH TYNESIDE
1266.42	2018-12-01	573	22784	00P	NHS SUNDERLAND
531.74	2018-12-01	244	11090	00Q	NHS BLACKBURN WITH DARWEN
547.01	2018-12-01	230	10996	00R	NHS BLACKPOOL
1184.1	2018-12-01	411	17334	00T	NHS BOLTON
787.56	2018-12-01	281	15655	00V	NHS BURY
702.65	2018-12-01	294	13605	00X	NHS CHORLEY AND SOUTH RIBBLE
1122.53	2018-12-01	508	26847	00Y	NHS OLDHAM
1301.21	2018-12-01	570	23424	01A	NHS EAST LANCASHIRE
885.21	2018-12-01	399	20445	01D	NHS HEYWOOD, MIDDLETON AND ROCHDALE
854.68	2018-12-01	373	15503	01E	NHS GREATER PRESTON
367.52	2018-12-01	149	5551	01F	NHS HALTON
1454.85	2018-12-01	466	26644	01G	NHS SALFORD
1921.98	2018-12-01	853	31320	01H	NHS NORTH CUMBRIA
388.43	2018-12-01	169	5720	01J	NHS KNOWSLEY
1744.41	2018-12-01	780	28480	01K	NHS MORECAMBE BAY
415.26	2018-12-01	161	7306	01T	NHS SOUTH SEFTON
474.36	2018-12-01	217	6046	01V	NHS SOUTHPORT AND FORMBY
946.71	2018-12-01	440	20686	01W	NHS STOCKPORT
453.1	2018-12-01	194	9195	01X	NHS ST HELENS
623.66	2018-12-01	277	12243	01Y	NHS TAMESIDE AND GLOSSOP
1045.9	2018-12-01	461	21377	02A	NHS TRAFFORD
660.37	2018-12-01	291	11467	02E	NHS WARRINGTON
285.62	2018-12-01	131	4368	02G	NHS WEST LANCASHIRE
1495.6	2018-12-01	617	26082	02H	NHS WIGAN BOROUGH
621.65	2018-12-01	264	10021	02M	NHS FYLDE AND WYRE
972.8	2018-12-01	385	13532	02P	NHS BARNSLEY
289.57	2018-12-01	90	3557	02Q	NHS BASSETLAW
828.72	2018-12-01	387	14375	02T	NHS CALDERDALE
905.4	2018-12-01	317	13693	02X	NHS DONCASTER
1295.08	2018-12-01	586	19554	02Y	NHS EAST RIDING OF YORKSHIRE
990.13	2018-12-01	461	17610	03F	NHS HULL
847.12	2018-12-01	333	15066	03H	NHS NORTH EAST LINCOLNSHIRE
965.24	2018-12-01	377	14378	03K	NHS NORTH LINCOLNSHIRE
1155.48	2018-12-01	482	18466	03L	NHS ROTHERHAM
3604.93	2018-12-01	1448	64508	03N	NHS SHEFFIELD
324.9	2018-12-01	130	5408	03Q	NHS VALE OF YORK
1601.87	2018-12-01	687	26713	03R	NHS WAKEFIELD
2427.81	2018-12-01	1100	42110	03W	NHS EAST LEICESTERSHIRE AND RUTLAND
1969.5	2018-12-01	917	38962	04C	NHS LEICESTER CITY
2615.4	2018-12-01	1167	50170	04V	NHS WEST LEICESTERSHIRE
573.75	2018-12-01	259	11159	04Y	NHS CANNOCK CHASE
605.05	2018-12-01	276	11340	05D	NHS EAST STAFFORDSHIRE
1211.23	2018-12-01	514	22087	05G	NHS NORTH STAFFORDSHIRE
800.47	2018-12-01	329	12214	05Q	NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA
913.67	2018-12-01	384	16681	05V	NHS STAFFORD AND SURROUNDS
1085.02	2018-12-01	485	19905	05W	NHS STOKE ON TRENT
5826.03	2018-12-01	2414	96906	06H	NHS CAMBRIDGESHIRE AND PETERBOROUGH
