actual_cost	date	items	quantity	row_id	row_name
1366.03	2018-12-01	226	13346	00L	NHS NORTHUMBERLAND
586.09	2018-12-01	78	6172	00N	NHS SOUTH TYNESIDE
775.92	2018-12-01	166	7985	00P	NHS SUNDERLAND
197.25	2018-12-01	61	2072	00Q	NHS BLACKBURN WITH DARWEN
96.92	2018-12-01	45	1302	00R	NHS BLACKPOOL
432.74	2018-12-01	107	4319	00T	NHS BOLTON
282.2	2018-12-01	65	2926	00V	NHS BURY
112.72	2018-12-01	53	1386	00X	NHS CHORLEY AND SOUTH RIBBLE
210.21	2018-12-01	79	2558	00Y	NHS OLDHAM
371.75	2018-12-01	103	3905	01A	NHS EAST LANCASHIRE
360.29	2018-12-01	87	3969	01D	NHS HEYWOOD, MIDDLETON AND ROCHDALE
136.04	2018-12-01	57	1579	01E	NHS GREATER PRESTON
49.88	2018-12-01	20	602	01F	NHS HALTON
337.56	2018-12-01	121	3441	01G	NHS SALFORD
986.67	2018-12-01	189	9533	01H	NHS NORTH CUMBRIA
76.34	2018-12-01	28	906	01J	NHS KNOWSLEY
210.37	2018-12-01	86	2578	01K	NHS MORECAMBE BAY
46.02	2018-12-01	18	534	01T	NHS SOUTH SEFTON
57.09	2018-12-01	19	694	01V	NHS SOUTHPORT AND FORMBY
525.07	2018-12-01	159	5062	01W	NHS STOCKPORT
92.52	2018-12-01	24	1038	01X	NHS ST HELENS
160.16	2018-12-01	68	2100	01Y	NHS TAMESIDE AND GLOSSOP
306.74	2018-12-01	143	3156	02A	NHS TRAFFORD
114.03	2018-12-01	28	1146	02E	NHS WARRINGTON
7.27	2018-12-01	5	94	02G	NHS WEST LANCASHIRE
385.68	2018-12-01	111	3984	02H	NHS WIGAN BOROUGH
162.88	2018-12-01	69	1902	02M	NHS FYLDE AND WYRE
178.92	2018-12-01	32	1736	02P	NHS BARNSLEY
50.97	2018-12-01	15	623	02Q	NHS BASSETLAW
195.36	2018-12-01	45	2094	02T	NHS CALDERDALE
241.43	2018-12-01	41	2612	02X	NHS DONCASTER
422.89	2018-12-01	121	4348	02Y	NHS EAST RIDING OF YORKSHIRE
428.9	2018-12-01	95	4081	03F	NHS HULL
200.2	2018-12-01	40	2148	03H	NHS NORTH EAST LINCOLNSHIRE
169.75	2018-12-01	32	2014	03K	NHS NORTH LINCOLNSHIRE
299.16	2018-12-01	56	3264	03L	NHS ROTHERHAM
564.98	2018-12-01	141	5632	03N	NHS SHEFFIELD
205.94	2018-12-01	51	2219	03Q	NHS VALE OF YORK
452.98	2018-12-01	118	4688	03R	NHS WAKEFIELD
475.02	2018-12-01	87	4748	03W	NHS EAST LEICESTERSHIRE AND RUTLAND
502.53	2018-12-01	111	5123	04C	NHS LEICESTER CITY
510.79	2018-12-01	99	5163	04V	NHS WEST LEICESTERSHIRE
205.72	2018-12-01	34	2098	04Y	NHS CANNOCK CHASE
