actual_cost	date	items	quantity	row_id	row_name
65.3	2018-12-01	2	30	00L	NHS NORTHUMBERLAND
82.92	2018-12-01	3	38	00N	NHS SOUTH TYNESIDE
91.61	2018-12-01	2	42	00P	NHS SUNDERLAND
45.92	2018-12-01	2	21	00Q	NHS BLACKBURN WITH DARWEN
122.18	2018-12-01	3	56	00R	NHS BLACKPOOL
607.17	2018-12-01	26	321	00T	NHS BOLTON
451.62	2018-12-01	18	207	00V	NHS BURY
196.89	2018-12-01	8	95	00X	NHS CHORLEY AND SOUTH RIBBLE
661.18	2018-12-01	30	329	00Y	NHS OLDHAM
95.89	2018-12-01	4	44	01A	NHS EAST LANCASHIRE
329.48	2018-12-01	11	151	01D	NHS HEYWOOD, MIDDLETON AND ROCHDALE
186.24	2018-12-01	7	113	01E	NHS GREATER PRESTON
126.57	2018-12-01	6	58	01F	NHS HALTON
256.36	2018-12-01	12	147	01G	NHS SALFORD
151.32	2018-12-01	8	79	01H	NHS NORTH CUMBRIA
61.03	2018-12-01	1	28	01J	NHS KNOWSLEY
874.59	2018-12-01	28	478	01K	NHS MORECAMBE BAY
127.02	2018-12-01	4	63	01T	NHS SOUTH SEFTON
30.58	2018-12-01	1	14	01V	NHS SOUTHPORT AND FORMBY
117.73	2018-12-01	4	54	01W	NHS STOCKPORT
137.88	2018-12-01	7	63	01X	NHS ST HELENS
259.58	2018-12-01	6	119	01Y	NHS TAMESIDE AND GLOSSOP
128.85	2018-12-01	5	59	02A	NHS TRAFFORD
571.69	2018-12-01	13	283	02E	NHS WARRINGTON
220.77	2018-12-01	11	114	02H	NHS WIGAN BOROUGH
264.18	2018-12-01	9	121	02M	NHS FYLDE AND WYRE
90.57	2018-12-01	5	65	02P	NHS BARNSLEY
111.73	2018-12-01	5	65	02Q	NHS BASSETLAW
395.92	2018-12-01	12	225	02T	NHS CALDERDALE
274.63	2018-12-01	13	205	02X	NHS DONCASTER
106.85	2018-12-01	3	49	02Y	NHS EAST RIDING OF YORKSHIRE
37.1	2018-12-01	2	17	03K	NHS NORTH LINCOLNSHIRE
82.92	2018-12-01	3	38	03L	NHS ROTHERHAM
65.82	2018-12-01	3	44	03N	NHS SHEFFIELD
481.42	2018-12-01	15	241	03Q	NHS VALE OF YORK
135.49	2018-12-01	6	62	03R	NHS WAKEFIELD
766.3	2018-12-01	19	396	03W	NHS EAST LEICESTERSHIRE AND RUTLAND
210.1	2018-12-01	11	160	04C	NHS LEICESTER CITY
105.01	2018-12-01	5	55	04V	NHS WEST LEICESTERSHIRE
162.46	2018-12-01	8	171	04Y	NHS CANNOCK CHASE
209.55	2018-12-01	10	125	05G	NHS NORTH STAFFORDSHIRE
481.99	2018-12-01	12	221	05Q	NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA
144.19	2018-12-01	6	66	05V	NHS STAFFORD AND SURROUNDS
479.14	2018-12-01	17	261	05W	NHS STOKE ON TRENT
426.34	2018-12-01	13	215	06H	NHS CAMBRIDGESHIRE AND PETERBOROUGH
244.53	2018-12-01	8	184	06K	NHS EAST AND NORTH HERTFORDSHIRE
62.6	2018-12-01	4	48	06L	NHS IPSWICH AND EAST SUFFOLK
210.23	2018-12-01	7	164	06N	NHS HERTS VALLEYS
318.46	2018-12-01	8	160	06Q	NHS MID ESSEX
409.76	2018-12-01	11	188	06T	NHS NORTH EAST ESSEX
57.51	2018-12-01	2	54	07G	NHS THURROCK
63.92	2018-12-01	4	41	07H	NHS WEST ESSEX
199.21	2018-12-01	9	164	07K	NHS WEST SUFFOLK
249.32	2018-12-01	10	164	09D	NHS BRIGHTON AND HOVE
390.28	2018-12-01	20	247	10Q	NHS OXFORDSHIRE
141.14	2018-12-01	4	84	10R	NHS PORTSMOUTH
485.52	2018-12-01	17	300	11J	NHS DORSET
2252.77	2018-12-01	71	1243	11M	NHS GLOUCESTERSHIRE
2241.13	2018-12-01	94	1280	11N	NHS KERNOW
1348.64	2018-12-01	22	619	11X	NHS SOMERSET
1145.83	2018-12-01	55	537	12F	NHS WIRRAL
211.51	2018-12-01	10	159	13T	NHS NEWCASTLE GATESHEAD
993.17	2018-12-01	38	474	14L	NHS MANCHESTER
154.96	2018-12-01	5	78	14Y	NHS BUCKINGHAMSHIRE
