actual_cost	date	items	quantity	row_id	row_name
19976.93	2018-12-01	8329	425927	00L	NHS NORTHUMBERLAND
10715.62	2018-12-01	3941	202180	00N	NHS SOUTH TYNESIDE
19343.77	2018-12-01	7561	396577	00P	NHS SUNDERLAND
12046.57	2018-12-01	4822	246877	00Q	NHS BLACKBURN WITH DARWEN
10859.25	2018-12-01	4578	243047	00R	NHS BLACKPOOL
22309.55	2018-12-01	8796	471932	00T	NHS BOLTON
17230.49	2018-12-01	5934	321255	00V	NHS BURY
12069.3	2018-12-01	4551	239455	00X	NHS CHORLEY AND SOUTH RIBBLE
20588.15	2018-12-01	7898	441925	00Y	NHS OLDHAM
24566.75	2018-12-01	10045	526940	01A	NHS EAST LANCASHIRE
14841.5	2018-12-01	5806	321076	01D	NHS HEYWOOD, MIDDLETON AND ROCHDALE
15264.49	2018-12-01	5723	323304	01E	NHS GREATER PRESTON
9858.87	2018-12-01	3861	222076	01F	NHS HALTON
16803.54	2018-12-01	6446	352433	01G	NHS SALFORD
21662.37	2018-12-01	9232	472328	01H	NHS NORTH CUMBRIA
12615.33	2018-12-01	4923	276066	01J	NHS KNOWSLEY
18758.05	2018-12-01	8036	383517	01K	NHS MORECAMBE BAY
10557.09	2018-12-01	4908	246252	01T	NHS SOUTH SEFTON
7673.16	2018-12-01	3748	188844	01V	NHS SOUTHPORT AND FORMBY
24615.31	2018-12-01	8446	458076	01W	NHS STOCKPORT
15366.82	2018-12-01	6136	344980	01X	NHS ST HELENS
13827.69	2018-12-01	5885	319553	01Y	NHS TAMESIDE AND GLOSSOP
12386.93	2018-12-01	5324	296528	02A	NHS TRAFFORD
12154.62	2018-12-01	5038	255668	02E	NHS WARRINGTON
5608.37	2018-12-01	2067	105075	02G	NHS WEST LANCASHIRE
19491.62	2018-12-01	8550	440934	02H	NHS WIGAN BOROUGH
11266.71	2018-12-01	4700	231418	02M	NHS FYLDE AND WYRE
15249.73	2018-12-01	6568	331984	02P	NHS BARNSLEY
5535.08	2018-12-01	2755	130575	02Q	NHS BASSETLAW
16175.02	2018-12-01	6330	342499	02T	NHS CALDERDALE
21263.09	2018-12-01	9298	491566	02X	NHS DONCASTER
17450.05	2018-12-01	8262	396192	02Y	NHS EAST RIDING OF YORKSHIRE
18562.36	2018-12-01	8800	468418	03F	NHS HULL
9292.17	2018-12-01	4709	228224	03H	NHS NORTH EAST LINCOLNSHIRE
9666.78	2018-12-01	4663	231996	03K	NHS NORTH LINCOLNSHIRE
15826.68	2018-12-01	6446	341818	03L	NHS ROTHERHAM
38443.76	2018-12-01	14597	780986	03N	NHS SHEFFIELD
20340.35	2018-12-01	7541	386239	03Q	NHS VALE OF YORK
25419.66	2018-12-01	10892	559584	03R	NHS WAKEFIELD
18629.53	2018-12-01	8331	430443	03W	NHS EAST LEICESTERSHIRE AND RUTLAND
22202.45	2018-12-01	10081	571638	04C	NHS LEICESTER CITY
22459.52	2018-12-01	9648	514151	04V	NHS WEST LEICESTERSHIRE
7603.78	2018-12-01	3634	200405	04Y	NHS CANNOCK CHASE
9080.07	2018-12-01	3732	212875	05D	NHS EAST STAFFORDSHIRE
14190.15	2018-12-01	5842	331545	05G	NHS NORTH STAFFORDSHIRE
13228.93	2018-12-01	5390	301401	05Q	NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA
7805	2018-12-01	3678	189825	05V	NHS STAFFORD AND SURROUNDS
18455.26	2018-12-01	8079	480096	05W	NHS STOKE ON TRENT
55545.24	2018-12-01	21864	1236307	06H	NHS CAMBRIDGESHIRE AND PETERBOROUGH
33667.83	2018-12-01	14678	787427	06K	NHS EAST AND NORTH HERTFORDSHIRE
19867	2018-12-01	9862	502177	06L	NHS IPSWICH AND EAST SUFFOLK
35502.34	2018-12-01	15098	869560	06N	NHS HERTS VALLEYS
21158.94	2018-12-01	10029	520205	06Q	NHS MID ESSEX
27626.41	2018-12-01	11927	681746	06T	NHS NORTH EAST ESSEX
11316.59	2018-12-01	5024	287758	07G	NHS THURROCK
21640.1	2018-12-01	9459	537047	07H	NHS WEST ESSEX
