year_month	total_usage	unit_name	Route	Trust
201904	258657.736	g		
201905	265278.092	g		
201906	238626.328	g		
201907	274574.705	g		
201908	262295.534	g		
201909	254181.275	g		
201910	278800.364	g		
201911	257929.006	g		
201912	257711.965	g		
202001	257589.943	g		
202002	238149.743	g		
202003	255239.977	g		
202004	163791.744	g		
202005	163396.122	g		
202006	192248.529	g		
202007	222430.568	g		
202008	200907.127	g		
202009	224639.601	g		
202010	228091.969	g		
202011	213142.893	g		
202012	230485.502	g		
202101	189351.912	g		
202102	185870.72	g		
202103	227345.092	g		
202104	218536.618	g		
202105	212136.576	g		
202106	233519.769	g		
202107	233640.213	g		
202108	226044.371	g		
202109	231731.028	g		
202110	235907.829	g		
202111	245516.272	g		
202112	241379.194	g		
202201	222177.888	g		
202202	218663.224	g		
202203	247185.797	g		
202204	224732.514	g		
202205	246480.313	g		
202206	235117.472	g		
202207	235030.032	g		
202208	248430.962	g		
202209	245909.308	g		
202210	238304.244	g		
202211	251012.181	g		
202212	244960.087	g		
202301	232595.932	g		
202302	225245.396	g		
202303	253241.761	g		
202304	221387.605	g		
202305	245697.454	g		
202306	243882.85	g		
202307	239676.723	g		
202308	246090.184	g		
202309	230919.495	g		
202310	240171.438	g		
202311	240453.698	g		
