year_month	total_usage	unit_name	Route	Trust
201904	155650.02	g		
201905	158757.71	g		
201906	140261.25	g		
201907	163903.86	g		
201908	148636.43	g		
201909	144752.64	g		
201910	159263.12	g		
201911	150070.3	g		
201912	174386.3	g		
202001	158474.65	g		
202002	147125.23	g		
202003	196044.7	g		
202004	178529.71	g		
202005	122944.08	g		
202006	128002.85	g		
202007	134726.85	g		
202008	124074.5	g		
202009	134184.15	g		
202010	146460.9	g		
202011	140331.6	g		
202012	161541.15	g		
202101	159095.3	g		
202102	120389.75	g		
202103	136343.15	g		
202104	130435.28	g		
202105	125873.45	g		
202106	144359.9	g		
202107	145084.22	g		
202108	146656.63	g		
202109	148657.25	g		
202110	151173.32	g		
202111	164018.35	g		
202112	174689.83	g		
202201	151178.77	g		
202202	140914.86	g		
202203	171544.4	g		
202204	158394.7	g		
202205	168209.51	g		
202206	164426.06	g		
202207	180753.1	g		
202208	176757.4	g		
202209	164809.56	g		
202210	165807.8	g		
202211	177736.25	g		
202212	208192.25	g		
202301	184420.25	g		
202302	164901.59	g		
202303	194210.46	g		
202304	176276.5	g		
202305	187039.15	g		
202306	179577.05	g		
202307	178046	g		
202308	180140.5	g		
202309	170730.75	g		
202310	174799.2	g		
202311	182725.5	g		
