year_month	total_usage	unit_name	Route	Trust
201904	316339.776	g		
201905	339116.4	g		
201906	307653.072	g		
201907	341048.704	g		
201908	319661.04	g		
201909	321594.168	g		
201910	359892.64	g		
201911	336335.008	g		
201912	369895.128	g		
202001	386132.756	g		
202002	340459.7	g		
202003	381324.384	g		
202004	320085.712	g		
202005	283127.836	g		
202006	309799.56	g		
202007	342561.288	g		
202008	302262.928	g		
202009	357482.784	g		
202010	355197.648	g		
202011	350806.888	g		
202012	376110.856	g		
202101	356696.12	g		
202102	332966.08	g		
202103	389474.72	g		
202104	352284.132	g		
202105	348676.316	g		
202106	385592.84	g		
202107	388335.112	g		
202108	377267.876	g		
202109	393284.856	g		
202110	388291.496	g		
202111	410715.004	g		
202112	420860.66	g		
202201	379614.94	g		
202202	374314.088	g		
202203	425967.104	g		
202204	390526.04	g		
202205	438431.32	g		
202206	408305.2	g		
202207	408477.08	g		
202208	434137.152	g		
202209	429934	g		
202210	424432.248	g		
202211	454636.808	g		
202212	450479.288	g		
202301	455074.044	g		
202302	430216.252	g		
202303	487483.74	g		
202304	430316.692	g		
202305	482031.324	g		
202306	468356.492	g		
202307	469170.204	g		
202308	476627.448	g		
202309	446887.12	g		
202310	476654.48	g		
202311	493219.608	g		
