year_month	total_usage	unit_name	Route	Trust
201904	280480.95	g		
201905	254995.25	g		
201906	218288.878	g		
201907	236969.775	g		
201908	217154.175	g		
201909	217195.15	g		
201910	262246.6	g		
201911	263806.875	g		
201912	340248.36	g		
202001	320352.888	g		
202002	252720.465	g		
202003	321797.095	g		
202004	313744.695	g		
202005	161265.875	g		
202006	151634.105	g		
202007	155016.8	g		
202008	153530.18	g		
202009	183698.295	g		
202010	206097.375	g		
202011	215744	g		
202012	251589.4	g		
202101	271042.05	g		
202102	171263.35	g		
202103	170406.2	g		
202104	164488.875	g		
202105	163243.35	g		
202106	190252.05	g		
202107	207772.025	g		
202108	203123.45	g		
202109	207322.501	g		
202110	230727.675	g		
202111	244140.275	g		
202112	264631	g		
202201	208928.05	g		
202202	178960.575	g		
202203	217426.305	g		
202204	227759.8	g		
202205	222858.1	g		
202206	208596.95	g		
202207	204589.35	g		
202208	206141.175	g		
202209	183580.375	g		
202210	212795.9	g		
202211	219587.725	g		
202212	320039.68	g		
202301	258299.65	g		
202302	209307.57	g		
202303	213978.655	g		
202304	180622.05	g		
202305	200264.45	g		
202306	197426.285	g		
202307	188267.325	g		
202308	201569.425	g		
202309	178007.7	g		
202310	215517.325	g		
202311	237661.355	g		
