year_month	total_usage	unit_name	Route	Trust
201904	465615.35	g		
201905	461487.849	g		
201906	412592.838	g		
201907	477183.779	g		
201908	433297.914	g		
201909	418136.68	g		
201910	466374.072	g		
201911	445917.012	g		
201912	507662.872	g		
202001	474909.602	g		
202002	422401.011	g		
202003	428476.305	g		
202004	335403.687	g		
202005	300340.834	g		
202006	340863.539	g		
202007	372205.739	g		
202008	354486.595	g		
202009	398544.979	g		
202010	399188.796	g		
202011	391420.958	g		
202012	434080.414	g		
202101	386486.877	g		
202102	334984.243	g		
202103	395856.823	g		
202104	389140.231	g		
202105	386201.27	g		
202106	442744.397	g		
202107	451886.324	g		
202108	435343.119	g		
202109	439273.029	g		
202110	443237.851	g		
202111	465694.82	g		
202112	479927.385	g		
202201	411436.918	g		
202202	396241.712	g		
202203	469870.458	g		
202204	442115.043	g		
202205	475210.725	g		
202206	449222.666	g		
202207	452549.226	g		
202208	463892.64	g		
202209	444660.437	g		
202210	449998.178	g		
202211	464871.605	g		
202212	542255.483	g		
202301	489878.015	g		
202302	449143.206	g		
202303	511273.889	g		
202304	449074.819	g		
202305	499212.036	g		
202306	483912.796	g		
202307	467320.18	g		
202308	478385.774	g		
202309	454599.367	g		
202310	476742.336	g		
202311	486349.555	g		
