year_month	total_usage	unit_name	Route	Trust
201904	811875.24	g		
201905	797182.33	g		
201906	692387.2	g		
201907	793203.15	g		
201908	736521.81	g		
201909	713444	g		
201910	810861	g		
201911	787699.75	g		
201912	918163	g		
202001	863833	g		
202002	733538.75	g		
202003	777117.75	g		
202004	632633	g		
202005	502495	g		
202006	564738.25	g		
202007	627742.25	g		
202008	605232	g		
202009	695291	g		
202010	736344	g		
202011	729569.5	g		
202012	864010.5	g		
202101	870637.5	g		
202102	647446.25	g		
202103	715461	g		
202104	665457.75	g		
202105	668976.75	g		
202106	748117.5	g		
202107	789923.25	g		
202108	784386.75	g		
202109	775571.25	g		
202110	783982.75	g		
202111	842798.25	g		
202112	879854.5	g		
202201	737631	g		
202202	707194.5	g		
202203	826657.75	g		
202204	781441.75	g		
202205	822190	g		
202206	756064.75	g		
202207	766892.25	g		
202208	804887.5	g		
202209	751896.5	g		
202210	795302.25	g		
202211	820917.5	g		
202212	976729.25	g		
202301	905272.5	g		
202302	783968.75	g		
202303	887068.25	g		
202304	791207.25	g		
202305	860958.5	g		
202306	816268.25	g		
202307	783129	g		
202308	831599.75	g		
202309	778563	g		
202310	855939	g		
202311	863843.75	g		
