year_month	total_usage	unit_name	Route	Trust
201904	249526.55	g		
201905	248205.815	g		
201906	219329.288	g		
201907	251212.297	g		
201908	232252.1	g		
201909	227780	g		
201910	256423.25	g		
201911	246491.055	g		
201912	284441.5	g		
202001	276047.29	g		
202002	248016.45	g		
202003	269151.667	g		
202004	215323.8	g		
202005	180535.795	g		
202006	202327.38	g		
202007	216054.02	g		
202008	214163.215	g		
202009	233881.467	g		
202010	250655.81	g		
202011	244305	g		
202012	277002.75	g		
202101	270302.5	g		
202102	234966	g		
202103	253544.51	g		
202104	239404.35	g		
202105	236996	g		
202106	254689.115	g		
202107	262365.035	g		
202108	262342.89	g		
202109	260973.33	g		
202110	265877.15	g		
202111	283095.84	g		
202112	297906.29	g		
202201	257804.27	g		
202202	254327.25	g		
202203	289450.5	g		
202204	275412.04	g		
202205	296458.5	g		
202206	276447.75	g		
202207	282914.25	g		
202208	298004.5	g		
202209	278550.25	g		
202210	292734.958	g		
202211	292615.15	g		
202212	328675	g		
202301	316756.72	g		
202302	280003.042	g		
202303	310100.138	g		
202304	280171.25	g		
202305	300619.14	g		
202306	287022	g		
202307	288399.25	g		
202308	310722.6	g		
202309	278418.7	g		
202310	307275.25	g		
202311	303236.3	g		
