year_month	total_usage	unit_name	Route	Trust
201904	14036.608	g		
201905	14138.098	g		
201906	13639.146	g		
201907	14524.848	g		
201908	14621.156	g		
201909	13530.852	g		
201910	15142.242	g		
201911	13855.956	g		
201912	14443.838	g		
202001	14375.08	g		
202002	13989.068	g		
202003	14801.26	g		
202004	12074.98	g		
202005	11529.974	g		
202006	11710.81	g		
202007	13466.502	g		
202008	12916.712	g		
202009	13952.548	g		
202010	15388.636	g		
202011	14239.412	g		
202012	15401.124	g		
202101	15169.96	g		
202102	13739.028	g		
202103	15657.632	g		
202104	14535.9	g		
202105	14622.596	g		
202106	14445.19	g		
202107	15007.8	g		
202108	15361.984	g		
202109	15935.6	g		
202110	15703.124	g		
202111	16378.592	g		
202112	17042.12	g		
202201	14191.706	g		
202202	14433.472	g		
202203	16330.122	g		
202204	15983.5	g		
202205	16499.31	g		
202206	15265.934	g		
202207	15937.658	g		
202208	16874.37	g		
202209	15951.056	g		
202210	15854.238	g		
202211	15915.372	g		
202212	16568.572	g		
202301	15371.364	g		
202302	13259.414	g		
202303	14689.756	g		
202304	14390.908	g		
202305	16152.796	g		
202306	15674.174	g		
202307	16042.372	g		
202308	15613.196	g		
202309	15358.468	g		
202310	15637.566	g		
202311	15747.278	g		
