year_month	total_usage	unit_name	Route	Trust
201904	54315.281	g		
201905	50429.958	g		
201906	44752.946	g		
201907	46848.923	g		
201908	45735.984	g		
201909	44944.606	g		
201910	54251.158	g		
201911	54991.62	g		
201912	68171.252	g		
202001	69732.408	g		
202002	56255.499	g		
202003	61291.269	g		
202004	43224.495	g		
202005	28849.479	g		
202006	33417.068	g		
202007	37075.875	g		
202008	37206.543	g		
202009	43624.228	g		
202010	47133.228	g		
202011	49910.807	g		
202012	54262.505	g		
202101	60785.968	g		
202102	45602.064	g		
202103	44746.697	g		
202104	41480.262	g		
202105	41124.964	g		
202106	46133.274	g		
202107	46962.951	g		
202108	47178.269	g		
202109	49516.531	g		
202110	51996.982	g		
202111	56470.349	g		
202112	59534.987	g		
202201	52971.294	g		
202202	45766.87	g		
202203	57126.574	g		
202204	54393.158	g		
202205	56567.965	g		
202206	50886.472	g		
202207	51015.57	g		
202208	52179.425	g		
202209	50637.151	g		
202210	57500.082	g		
202211	58679.888	g		
202212	74939.394	g		
202301	75418.727	g		
202302	60566.804	g		
202303	67928.071	g		
202304	58438.261	g		
202305	61431.739	g		
202306	63533.09	g		
202307	57835.275	g		
202308	61292.107	g		
202309	54566.834	g		
202310	61835.499	g		
202311	66352.693	g		
