year_month	total_usage	unit_name	Route	Trust
201904	236774.52	g		
201905	235489.02	g		
201906	213698.15	g		
201907	236029.96	g		
201908	236417	g		
201909	214650	g		
201910	240532.06	g		
201911	224047.38	g		
201912	243739.58	g		
202001	238554.5	g		
202002	217804.165	g		
202003	244015.26	g		
202004	197870.7	g		
202005	165911.22	g		
202006	180305.32	g		
202007	194032.1	g		
202008	187874.2	g		
202009	200558.5	g		
202010	211674	g		
202011	211651.5	g		
202012	234170.4	g		
202101	227315.57	g		
202102	212319.34	g		
202103	219739.4	g		
202104	193414	g		
202105	188404.5	g		
202106	199172.7	g		
202107	214509.5	g		
202108	223613.605	g		
202109	220577	g		
202110	219560	g		
202111	227684.5	g		
202112	234562.78	g		
202201	202525.5	g		
202202	196237.3	g		
202203	218635	g		
202204	208561.34	g		
202205	222576.7	g		
202206	212434	g		
202207	207064	g		
202208	218314.8	g		
202209	212776	g		
202210	213854.5	g		
202211	216747.08	g		
202212	232055.5	g		
202301	212496	g		
202302	199430.46	g		
202303	226323.56	g		
202304	203364.9	g		
202305	213394.6	g		
202306	213161.5	g		
202307	213881.06	g		
202308	229113.5	g		
202309	208882	g		
202310	223417.5	g		
202311	221904	g		
