year_month	total_usage	unit_name	Route	Trust
201904	2001422.35	g		
201905	1929182.405	g		
201906	1727836.4	g		
201907	1981948.061	g		
201908	1799831.187	g		
201909	1752045.835	g		
201910	2001196.49	g		
201911	1975059.25	g		
201912	2347231.725	g		
202001	2097692.66	g		
202002	1849693.068	g		
202003	1913646.907	g		
202004	1432074.635	g		
202005	1210689.3	g		
202006	1349837.07	g		
202007	1452034.353	g		
202008	1372518.18	g		
202009	1583052.44	g		
202010	1566467.407	g		
202011	1519890.873	g		
202012	1674786.377	g		
202101	1471354.262	g		
202102	1286171.972	g		
202103	1525042.45	g		
202104	1538007.72	g		
202105	1550730.885	g		
202106	1802940.62	g		
202107	1833356.975	g		
202108	1742119.725	g		
202109	1823502.38	g		
202110	1921045.81	g		
202111	1990860.25	g		
202112	2052692.35	g		
202201	1688728	g		
202202	1604293.595	g		
202203	1934780.975	g		
202204	1844601.55	g		
202205	1956832.38	g		
202206	1884784	g		
202207	1869165.7	g		
202208	1852781.655	g		
202209	1821943.715	g		
202210	1927559.3	g		
202211	2031098.55	g		
202212	2713876.778	g		
202301	2151876.43	g		
202302	1967893.24	g		
202303	2212216.922	g		
202304	1921629.222	g		
202305	2120914.95	g		
202306	2028405.01	g		
202307	1965554.915	g		
202308	1991759.43	g		
202309	1896734.65	g		
202310	2079555.846	g		
202311	2204007.24	g		
